id	язык	ситуация	выражение	глосса	переводной эквивалент	есть пример?	Пример	стратегия	тип корня	тип сателлита	что кодирует сателлит	редупликация	колексификации	совпадения корней	переходность	тип конструкции
1	мвотлап	МАХАТЬ	alveg 	wave	beckon, wave to s.o., palm down	+	‘(You) greet me with your white handkerchief’	simple	wave	—	—	+	—	—	intr	—
2	мвотлап	КАЧАТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	intr	—
3	мвотлап	КРУЖИТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	intr	—
4	мвотлап	ПЕРЕВОРАЧИВАТЬСЯ	hag vaqtep	sit_down upside_down	turn over	+	‘La tasse est posée [litt. assise] à l'envers (ouverture vers le bas).’	grammatical	sit_down	upside_down	Конечная точка	-	—	—	intr	—
5	мвотлап	ПОВОРАЧИВАТЬСЯ	at kēlē	turn_around backwards	‘turn round to look back’	-	—	grammatical	turn_around	backwards	Траектория	-	—	—	intr	—
6	мвотлап	ДРОЖАТЬ	m[ē]yē~myēn̄	tremble~RED	‘tremble, quiver, shake’	-	—	simple	tremble	—	—	+	—	—	intr	—
7	мвотлап	ШЕВЕЛИТЬСЯ	w[ē]lē~wlēs	move~RED	‘remuer pour s'affranchir d'une contrainte physique’	-	—	simple	move	—	—	+	—	—	intr	—
8	мвотлап	НАКЛОНЯТЬСЯ	taq hiy	bend downwards	‘bend down leaning towards the ground’	+	‘For the sea snake's dance, we have to lean forward.’	grammatical	bend	downwards	Траектория	-	—	—	intr	—
9	мвотлап	ВЫПРЯМЛЯТЬСЯ	sis kal	lean upwards	‘lean upwards, stand up straight’	+	‘Straighten up!’	grammatical	lean	upwards	Траектория	-	—	—	intr	—
10	ительменский	МАХАТЬ	awela-s	wave-INF	махать рукой; давать знак	+	‘Помаши ему’.	simple	wave	—	—	-	—	—	intr	—
11	ительменский	КАЧАТЬСЯ	qele-kas 	swing-INF	качаться	-	—	simple	swing	—	—	-	—	—	intr	—
12	ительменский	КРУЖИТЬСЯ	k’ele-kas	spin-INF	вертеться, кружиться	+	‘Не вертитесь!’	simple	spin	—	—	-	—	—	intr	—
13	ительменский	ПЕРЕВОРАЧИВАТЬСЯ	sxozŋa-kas	turn-INF	поворачиваться, переворачиваться, оборачиваться	+	‘Повернись [ко мне]’	simple	turn	—	—	-	13-14	—	intr	—
14	ительменский	ПОВОРАЧИВАТЬСЯ	sxozŋa-kas	turn-INF	поворачиваться, переворачиваться, оборачиваться	-	—	simple	turn	—	—	-	13-14	—	intr	—
15	ительменский	ДРОЖАТЬ	xʷewet-kas	tremble-INF	дрожать (от холода, болезни, страха)	+	‘Не дрожи!	simple	tremble	—	—	-	—	—	intr	—
16	ительменский	ШЕВЕЛИТЬСЯ	č’oxɬ-kas	move-INF	шевелиться	+	‘Там что-то шевелится’	simple	move	—	—	-	—	—	intr	—
